Index,Name,Type,ApogeeAltitude,PerigeeAltitude,Inclination,ArgOfPerigee,RAAN,TrueAnomaly,CnstrMaxRange,Lat,Lon,H,CnstrMinElev
1,CETT,GS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"-31,525","-64,462","0,005",5
2,Sat_1,SAT,400,400,53,0,0,0,2500,NaN,NaN,NaN,NaN
3,Sat_2,SAT,400,400,53,0,0,90,2500,NaN,NaN,NaN,NaN
4,Sat_3,SAT,400,400,53,0,0,180,2500,NaN,NaN,NaN,NaN
5,Sat_4,SAT,400,400,53,0,0,270,2500,NaN,NaN,NaN,NaN
6,Sat_5,SAT,500,500,53,15,30,0,2500,NaN,NaN,NaN,NaN
7,Sat_6,SAT,500,500,53,15,30,90,2500,NaN,NaN,NaN,NaN
8,Sat_7,SAT,500,500,53,15,30,180,2500,NaN,NaN,NaN,NaN
9,Sat_8,SAT,500,500,53,15,30,270,2500,NaN,NaN,NaN,NaN
10,Sat_9,SAT,400,400,53,30,60,0,2500,NaN,NaN,NaN,NaN
11,Sat_10,SAT,400,400,53,30,60,90,2500,NaN,NaN,NaN,NaN
12,Sat_11,SAT,400,400,53,30,60,180,2500,NaN,NaN,NaN,NaN
13,Sat_12,SAT,400,400,53,30,60,270,2500,NaN,NaN,NaN,NaN
14,Sat_13,SAT,500,500,53,45,90,0,2500,NaN,NaN,NaN,NaN
15,Sat_14,SAT,500,500,53,45,90,90,2500,NaN,NaN,NaN,NaN
16,Sat_15,SAT,500,500,53,45,90,180,2500,NaN,NaN,NaN,NaN
17,Sat_16,SAT,500,500,53,45,90,270,2500,NaN,NaN,NaN,NaN
