# a contact +<start> +<end> <from> <to> <rate> <range>
# A-B 00-30
a contact +0000000 +0000060 01 02 1 1
a contact +0000000 +0000060 02 01 1 1
# B-C 00-30
a contact +0000000 +0000060 02 03 1 1
a contact +0000000 +0000060 03 02 1 1
# A-C 05-25
a contact +0000000 +0000060 01 03 1 1
a contact +0000000 +0000060 03 01 1 1
# C-D 10-30
a contact +0000000 +0000030 03 04 1 1
a contact +0000000 +0000030 04 03 1 1
# A-E 30-50
a contact +0000010 +0000020 01 05 1 1
a contact +0000010 +0000020 05 01 1 1
# D-E 15-25
a contact +0000000 +0000010 04 05 1 1
a contact +0000000 +0000010 05 04 1 1
# D-E 30-40
a contact +0000030 +0000040 04 05 1 1
a contact +0000030 +0000040 05 04 1 1
# D-E 50-60
a contact +0000050 +0000060 04 05 1 1
a contact +0000050 +0000060 05 04 1 1
